timestamp,rtt,jitter
5855051212900,0.297143,0.029536
5855052236846,0.321476,0.024333
5855053222070,0.303439,0.018037
5855054435217,0.485937,0.182498
5855055341849,0.418622,0.067315
5855056360425,0.438011,0.019389
5855057245428,0.32192,0.116091
5855058221264,0.301625,0.020295
5855059211988,0.294365,0.00726
5855061372803,0.4324,0.138035
5855062344991,0.416901,0.015499
5855063269864,0.348642,0.068259
5855064334846,0.417863,0.069221
5855065291386,0.368753,0.04911
5855066226666,0.309532,0.059221
5855067521700,0.575805,0.266273
5855068505794,0.573916,0.001889
5855069354613,0.427807,0.146109
5855070235654,0.316735,0.111072
5855071256933,0.336642,0.019907
5855072280786,0.361808,0.025166
5855073242029,0.320087,0.041721
5855074490620,0.540806,0.220719
5855075308384,0.384716,0.15609
5855076420531,0.483843,0.099127
5855077245684,0.325605,0.158238
5855078225316,0.306921,0.018684
5855079220836,0.301921,0.005
5855080463649,0.515344,0.213423
5855081342949,0.421382,0.093962
5855082351098,0.420733,0.000649
5855083238806,0.320439,0.100294
5855084292843,0.37266,0.052221
5855085270345,0.351957,0.020703
5855086517973,0.578583,0.226626
5855087477790,0.542769,0.035814
5855088465755,0.532417,0.010352
5855089268963,0.346864,0.185553
5855090231429,0.314199,0.032665
5855091217060,0.299087,0.015112
5855092239802,0.322531,0.023444
5855093806220,0.62186,0.299329
5855094448506,0.420364,0.201496
5855095357787,0.421845,0.001481
5855096280456,0.358438,0.063407
5855097237551,0.316513,0.041925
5855098214905,0.299402,0.017111
5855099210592,0.29518,0.004222
5855100414905,0.468862,0.173682
5855101440240,0.51164,0.042778
5855102328669,0.403715,0.107925
5855103222543,0.305939,0.097776
5855104249230,0.333513,0.027574
5855105220787,0.302976,0.030537
5855106445248,0.500528,0.197552
5855107331400,0.410345,0.090183
5855108336142,0.415419,0.005074
5855109237294,0.319365,0.096054
5855110223814,0.305661,0.013704
5855111210260,0.295032,0.010629
5855112420185,0.474604,0.179572
5855113407298,0.475678,0.001074
5855114294579,0.368901,0.106777
5855115226378,0.307791,0.06111
5855116263675,0.347438,0.039647
5855117224918,0.307568,0.03987
5855118431250,0.486955,0.179387
5855119331142,0.410771,0.076184
5855120377051,0.454659,0.043888
5855121247925,0.329384,0.125275
5855122218112,0.302458,0.026926
5855123216225,0.301347,0.001111
5855124461871,0.51801,0.216663
5855125342800,0.4229,0.09511
5855126307432,0.386067,0.036833
5855127234842,0.315809,0.070258
5855128254640,0.338494,0.022685
5855129230679,0.313124,0.02537
5855130443992,0.497917,0.184793
5855131388198,0.460844,0.037073
5855132394848,0.46951,0.008666
5855133274019,0.35168,0.11783
5855134228058,0.310865,0.040815
5855135218041,0.304217,0.006648
5855136503501,0.56062,0.256403
5855137292099,0.37242,0.1882
5855138394877,0.466659,0.094239
5855139230770,0.314069,0.15259
5855140293178,0.374753,0.060684
5855141236496,0.318143,0.05661
5855142507308,0.564787,0.246644
5855143719658,0.777987,0.2132
5855144439590,0.495844,0.282143
5855145244373,0.325458,0.170386
5855146217078,0.297513,0.027945
5855147218247,0.301236,0.003723
5855148454948,0.508121,0.206885
5855149358822,0.437456,0.070665
5855150297862,0.372679,0.064777
5855151229401,0.311531,0.061148
5855152238366,0.322235,0.010704
5855153224442,0.308569,0.013666
5855154450736,0.506825,0.198256
5855155464978,0.538657,0.031832
5855156510609,0.577398,0.038741
5855157507685,0.574435,0.002963
5855158881384,0.954244,0.379809
5855159608520,0.53114,0.423104
5855160334230,0.412901,0.118239
5855161480618,0.542269,0.129368
5855162300604,0.379772,0.162497
5855163393956,0.450289,0.070517
5855164323311,0.39966,0.050629
5855165244758,0.32368,0.07598
5855166230575,0.314328,0.009352
5855167437166,0.491418,0.17709
